,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
635,Fazenda Califórnia Airport,small_airport,0.338457,-53.818049,1680.0,Pará,Almeirim,POINT (3796468.989861056 10037402.212510217)
636,Águia Branca do Paru Airport,small_airport,-1.26805603504,-53.261390686,479.0,Pará,Almeirim,POINT (3858398.413821944 9859858.871609109)
637,Aldeia Apalai Bona Airstrip,small_airport,1.218611,-54.658611,1024.0,Pará,Almeirim,POINT (3702954.6756862532 10134675.78357098)
638,Denial Matawaré Airstrip,small_airport,1.951111,-55.1225,1083.0,Pará,Almeirim,POINT (3651346.0356475227 10215654.381987788)
639,Aldeia Pururé Airstrip,small_airport,0.583874,-54.209777,945.0,Pará,Almeirim,POINT (3752888.414884948 10064523.510397198)
640,Aldeia Ananapiare Airport,small_airport,0.62,-54.427222,978.0,Pará,Almeirim,POINT (3728697.195146559 10068515.922893353)
641,Aldeia Xuixuimene Airport,small_airport,0.851175,-54.650278,1007.0,Pará,Almeirim,POINT (3703881.73969821 10094064.614825966)
642,Cirilo Queiróz Airport,small_airport,-16.165579,-40.684024,640.0,Minas Gerais,Almenara,POINT (5257657.2665494075 8189080.42339945)
643,Fazenda Shangri-lá Airport,small_airport,-10.282500267029,-56.469165802002,1057.0,Mato Grosso,Alta Floresta,POINT (3501526.594729568 8857476.994723715)
644,Fazenda Taquaral Airport,small_airport,-10.028889,-56.7383,980.0,Mato Grosso,Alta Floresta,POINT (3471584.841537337 8885954.95262618)
645,Aero Rural Airport,small_airport,-9.85694408416748,-56.00444412231445,879.0,Mato Grosso,Alta Floresta,POINT (3553227.8721584114 8905249.7358611)
646,Estância Califórnia Airport,small_airport,-9.89194393157959,-56.12944412231445,945.0,Mato Grosso,Alta Floresta,POINT (3539321.3557183985 8901323.063128347)
647,Minalpa - Mineração Alto Parnaíba Ltda. Airport,small_airport,-10.4166669846,-56.3886108398,984.0,Mato Grosso,Alta Floresta,POINT (3510488.505979062 8842402.106744125)
648,Fazenda Charqueada Norte Airport,small_airport,-10.0002784729,-57.067222595215,820.0,Mato Grosso,Alta Floresta,POINT (3434991.5017145434 8889166.194906466)
649,Chácara Santa Eulália Airport,small_airport,-9.562828,-57.382689,669.0,Mato Grosso,Alta Floresta,POINT (3399895.191759228 8938230.427568063)
650,Estância Recanto Airport,small_airport,-9.937751,-56.087244,1004.0,Mato Grosso,Alta Floresta,POINT (3544016.209276291 8896183.275510406)
651,Fazenda Bacaeri Airport,small_airport,-10.051621,-56.832232,1050.0,Mato Grosso,Alta Floresta,POINT (3461134.706319391 8883403.310795622)
652,São Raimundo II Airport,small_airport,-9.965737,-56.154791,932.0,Mato Grosso,Alta Floresta,POINT (3536501.4615485016 8893042.744315937)
653,Fazenda Vaca Branca Airport,small_airport,-9.523333,-56.238333,899.0,Mato Grosso,Alta Floresta,POINT (3527207.23597705 8942656.977392662)
